volts,time,
2087,12:37:49:614,
2225,12:37:49:619,
2068,12:37:49:624,
2287,12:37:49:629,
2173,12:37:49:640,
2321,12:37:49:640,
2607,12:37:49:644,
2371,12:37:49:650,
2317,12:37:49:654,
1767,12:37:49:659,
2129,12:37:49:664,
2365,12:37:49:669,
2183,12:37:49:674,
3435,12:37:49:680,
2559,12:37:49:684,
2639,12:37:49:689,
2622,12:37:49:696,
2417,12:37:49:699,
2321,12:37:49:704,
2037,12:37:49:710,
2233,12:37:49:714,
2397,12:37:49:720,
2971,12:37:49:724,
2608,12:37:49:729,
2230,12:37:49:734,
1392,12:37:49:739,
2274,12:37:49:744,
2069,12:37:49:749,
1968,12:37:49:754,
1805,12:37:49:759,
1891,12:37:49:764,
2157,12:37:49:769,
1997,12:37:49:774,
2125,12:37:49:779,
2059,12:37:49:784,
2113,12:37:49:789,
1967,12:37:49:794,
1847,12:37:49:799,
1947,12:37:49:804,
1742,12:37:49:809,
1793,12:37:49:814,
1831,12:37:49:821,
1803,12:37:49:824,
2218,12:37:49:829,
2103,12:37:49:834,
2220,12:37:49:839,
2145,12:37:49:844,
1957,12:37:49:852,
1973,12:37:49:854,
1837,12:37:49:859,
1830,12:37:49:864,
2058,12:37:49:869,
1968,12:37:49:874,
2147,12:37:49:884,
1938,12:37:49:884,
1973,12:37:49:890,
2651,12:37:49:894,
2549,12:37:49:899,
2833,12:37:49:904,
2730,12:37:49:909,
2559,12:37:49:914,
2466,12:37:49:919,
2315,12:37:49:924,
2402,12:37:49:929,
2126,12:37:49:934,
2159,12:37:49:940,
2384,12:37:49:946,
2159,12:37:49:950,
2147,12:37:49:954,
2189,12:37:49:960,
3206,12:37:49:964,
2547,12:37:49:969,
2303,12:37:49:977,
2759,12:37:49:979,
2399,12:37:49:984,
2559,12:37:49:990,
2659,12:37:49:994,
2459,12:37:49:999,
2285,12:37:50:004,
2000,12:37:50:009,
4095,12:37:50:014,
2687,12:37:50:019,
2438,12:37:50:024,
2826,12:37:50:031,
2511,12:37:50:034,
2475,12:37:50:041,
2768,12:37:50:044,
2559,12:37:50:050,
2699,12:37:50:054,
2559,12:37:50:060,
2559,12:37:50:064,
2734,12:37:50:069,
2595,12:37:50:074,
2663,12:37:50:080,
2535,12:37:50:084,
2627,12:37:50:089,
2673,12:37:50:094,
2491,12:37:50:102,
2751,12:37:50:104,
2555,12:37:50:109,
2525,12:37:50:115,
2533,12:37:50:120,
2367,12:37:50:124,
2559,12:37:50:133,
2511,12:37:50:134,
2611,12:37:50:140,
2621,12:37:50:144,
2527,12:37:50:150,
2111,12:37:50:154,
2193,12:37:50:158,
2211,12:37:50:164,
2046,12:37:50:169,
1951,12:37:50:173,
2160,12:37:50:179,
1915,12:37:50:184,
2086,12:37:50:188,
2107,12:37:50:195,
1927,12:37:50:199,
2135,12:37:50:204,
1978,12:37:50:209,
1938,12:37:50:214,
2241,12:37:50:219,
2086,12:37:50:224,
2357,12:37:50:229,
2213,12:37:50:234,
2635,12:37:50:239,
2611,12:37:50:244,
2419,12:37:50:249,
2606,12:37:50:254,
2485,12:37:50:259,
2559,12:37:50:264,
2411,12:37:50:269,
2293,12:37:50:274,
2459,12:37:50:279,
2267,12:37:50:283,
2199,12:37:50:289,
2277,12:37:50:294,
2143,12:37:50:299,
2286,12:37:50:304,
2075,12:37:50:309,
1987,12:37:50:314,
2174,12:37:50:321,
2042,12:37:50:324,
2224,12:37:50:329,
2191,12:37:50:334,
2239,12:37:50:340,
2197,12:37:50:344,
2014,12:37:50:350,
2163,12:37:50:354,
1988,12:37:50:359,
2042,12:37:50:364,
1949,12:37:50:369,
2090,12:37:50:374,
2183,12:37:50:382,
1846,12:37:51:880,
1590,12:37:51:880,
2099,12:37:51:880,
1904,12:37:51:881,
2043,12:37:51:881,
1820,12:37:51:881,
2087,12:37:51:882,
2128,12:37:51:883,
2009,12:37:51:883,
2017,12:37:51:884,
2125,12:37:51:884,
2119,12:37:51:885,
2167,12:37:51:885,
1962,12:37:51:886,
2128,12:37:51:886,
1919,12:37:51:887,
2010,12:37:51:887,
2160,12:37:51:887,
1967,12:37:51:888,
2201,12:37:51:888,
2135,12:37:51:889,
2151,12:37:51:889,
2079,12:37:51:889,
1883,12:37:51:890,
1870,12:37:51:890,
1806,12:37:51:891,
1962,12:37:51:891,
2005,12:37:51:891,
1935,12:37:51:892,
2539,12:37:51:892,
2607,12:37:51:892,
2449,12:37:51:893,
2864,12:37:51:893,
2591,12:37:51:894,
2731,12:37:51:894,
2433,12:37:51:895,
2550,12:37:51:895,
2619,12:37:51:896,
2404,12:37:51:896,
2439,12:37:51:896,
2599,12:37:51:897,
2717,12:37:51:897,
2606,12:37:51:897,
2379,12:37:51:898,
2391,12:37:51:898,
2266,12:37:51:898,
2387,12:37:51:899,
1744,12:37:51:899,
2070,12:37:51:899,
2150,12:37:51:899,
2116,12:37:51:900,
2118,12:37:51:900,
2243,12:37:51:900,
2043,12:37:51:901,
2343,12:37:51:901,
2307,12:37:51:901,
2395,12:37:51:901,
2527,12:37:51:902,
2343,12:37:51:902,
2242,12:37:51:902,
1987,12:37:51:903,
2067,12:37:51:903,
2320,12:37:51:903,
2093,12:37:51:903,
2351,12:37:51:904,
2389,12:37:51:904,
2221,12:37:51:904,
2243,12:37:51:905,
2133,12:37:51:905,
2837,12:37:51:905,
2367,12:37:51:905,
2271,12:37:51:906,
1899,12:37:51:906,
2099,12:37:51:906,
2058,12:37:51:907,
2303,12:37:51:907,
2783,12:37:51:907,
2915,12:37:51:907,
2827,12:37:51:908,
2831,12:37:51:908,
2737,12:37:51:908,
2831,12:37:51:909,
2791,12:37:51:909,
2767,12:37:51:909,
2799,12:37:51:909,
2589,12:37:51:910,
2753,12:37:51:910,
2722,12:37:51:911,
2703,12:37:51:911,
2663,12:37:51:911,
2587,12:37:51:912,
2645,12:37:51:912,
2607,12:37:51:912,
2651,12:37:51:912,
2615,12:37:51:912,
2421,12:37:51:913,
2485,12:37:51:913,
2381,12:37:51:913,
2325,12:37:51:914,
2076,12:37:51:914,
1917,12:37:51:914,
1946,12:37:51:914,
2118,12:37:51:915,
1951,12:37:51:915,
1935,12:37:51:915,
1747,12:37:51:916,
1821,12:37:51:916,
1993,12:37:51:916,
1885,12:37:51:916,
1819,12:37:51:917,
1613,12:37:51:917,
1683,12:37:51:917,
1777,12:37:51:917,
1707,12:37:51:918,
1918,12:37:51:918,
1774,12:37:51:918,
2031,12:37:51:919,
1977,12:37:51:919,
1877,12:37:51:919,
2107,12:37:51:919,
1861,12:37:51:920,
1908,12:37:51:920,
2187,12:37:51:920,
1967,12:37:51:920,
2231,12:37:51:921,
1931,12:37:51:921,
2059,12:37:51:921,
1987,12:37:51:922,
1925,12:37:51:922,
1825,12:37:51:922,
1654,12:37:51:922,
1941,12:37:51:923,
2461,12:37:51:923,
2229,12:37:51:923,
2391,12:37:51:924,
2671,12:37:51:924,
2943,12:37:51:924,
2877,12:37:51:924,
2701,12:37:51:925,
2655,12:37:51:925,
2391,12:37:51:925,
2431,12:37:51:925,
2559,12:37:51:926,
2343,12:37:51:926,
2558,12:37:51:926,
2263,12:37:51:926,
2321,12:37:51:930,
2518,12:37:51:930,
2350,12:37:51:930,
2354,12:37:51:931,
1921,12:37:51:931,
4095,12:37:51:931,
2687,12:37:51:931,
2475,12:37:51:932,
2621,12:37:51:932,
2593,12:37:51:932,
2551,12:37:51:932,
2673,12:37:51:932,
2475,12:37:51:933,
2635,12:37:51:933,
2497,12:37:51:933,
2559,12:37:51:933,
2635,12:37:51:933,
2479,12:37:51:933,
2497,12:37:51:934,
2319,12:37:51:934,
2467,12:37:51:934,
2523,12:37:51:934,
2343,12:37:51:934,
2479,12:37:51:935,
2211,12:37:51:935,
1903,12:37:51:935,
2259,12:37:51:935,
2067,12:37:51:935,
2103,12:37:51:936,
1883,12:37:51:936,
1907,12:37:51:936,
2191,12:37:51:936,
2033,12:37:51:936,
2108,12:37:51:937,
1957,12:37:51:937,
1868,12:37:51:937,
2083,12:37:51:937,
1616,12:37:51:937,
1904,12:37:51:937,
1806,12:37:51:938,
1872,12:37:51:938,
1749,12:37:51:938,
1742,12:37:51:938,
1999,12:37:51:938,
1846,12:37:51:939,
1825,12:37:51:939,
1776,12:37:51:939,
1762,12:37:51:939,
1984,12:37:51:939,
1963,12:37:51:940,
2121,12:37:51:940,
2059,12:37:51:940,
1970,12:37:51:940,
2081,12:37:51:940,
1919,12:37:51:940,
2205,12:37:51:941,
2533,12:37:51:941,
2447,12:37:51:941,
2359,12:37:51:941,
2032,12:37:51:941,
2096,12:37:51:942,
2198,12:37:51:942,
2112,12:37:51:942,
2174,12:37:51:942,
1935,12:37:51:942,
2061,12:37:51:942,
2143,12:37:51:943,
2022,12:37:51:943,
1965,12:37:51:943,
1829,12:37:51:943,
1911,12:37:51:943,
